"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"1587","432","753","319","0","13","0","13","0","13","4","7","0","13","47","51","0","13","0","13","13","14","8","12","0","13","38","51","34","45","14","24","525","302","70","80","834","249","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"1532","401","276","139","0","13","17","27","0","13","37","52","20","31","0","13","0","13","17","27","19","31","16","27","20","34","0","13","17","30","25","37","70","59","18","30","1256","344","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"1919","334","856","272","17","25","0","13","0","13","59","47","23","34","0","13","0","13","20","28","13","21","47","50","0","13","26","38","40","39","0","13","550","204","61","55","1063","214","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"778","274","263","164","0","13","76","115","16","25","8","14","16","25","0","13","0","13","0","13","0","13","28","36","0","13","0","13","0","13","0","13","57","61","62","55","515","173","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"2185","365","1884","318","0","13","0","13","0","13","0","13","0","13","18","25","35","33","0","13","0","13","0","13","0","13","19","29","0","13","0","13","1754","297","58","71","301","152","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"1302","221","265","116","55","41","10","14","22","21","21","24","0","13","26","31","39","30","0","13","27","37","0","13","0","13","0","13","0","13","43","43","22","20","0","13","1037","152","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"1262","300","380","172","37","37","23","26","11","12","19","15","17","20","24","18","27","19","8","11","0","13","2","4","13","14","35","29","59","73","11","12","74","62","20","23","882","164","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"1406","388","217","164","0","13","0","13","11","15","0","13","76","84","0","13","0","13","70","80","0","13","0","13","28","33","16","25","0","13","16","25","0","13","0","13","1189","322","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"549","180","94","96","0","13","0","13","23","38","0","13","0","13","0","13","0","13","0","13","24","40","0","13","0","13","0","13","28","42","0","13","19","31","0","13","455","126","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"597","354","121","116","0","13","44","57","0","13","44","56","18","31","0","13","0","13","15","26","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","476","278","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"987","375","263","209","0","13","6","14","0","13","7","16","130","119","25","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","58","88","37","56","0","13","724","231","1500000US240010020004","Block Group 4, Census Tract 20, Allegany County, Maryland"
"1347","411","126","89","23","35","15","25","18","30","21","34","0","13","0","13","0","13","0","13","0","13","33","50","16","22","0","13","0","13","0","13","0","13","0","13","1221","365","1500000US240010020005","Block Group 5, Census Tract 20, Allegany County, Maryland"
"1052","233","194","84","6","5","3","5","1","3","3","5","30","32","0","13","3","5","17","18","3","5","0","13","5","5","52","39","38","42","7","7","22","18","4","6","858","170","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"810","175","232","90","14","12","15","12","16","16","28","43","5","7","6","6","15","14","1","3","23","17","7","9","25","25","27","29","4","8","7","8","31","22","8","13","578","115","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"1203","303","237","94","4","6","0","13","2","4","35","34","53","38","0","13","35","31","13","18","24","25","11","15","15","17","35","30","0","13","4","6","6","9","0","13","966","258","1500000US240010021003","Block Group 3, Census Tract 21, Allegany County, Maryland"
"898","200","66","48","0","13","0","13","9","14","0","13","0","13","8","11","0","13","0","13","0","13","6","10","13","14","17","26","0","13","0","13","13","19","0","13","832","184","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"1299","329","317","129","25","25","33","27","24","27","33","24","18","18","12","14","17","17","27","31","8","13","24","31","27","29","4","6","4","8","6","8","55","52","0","13","982","231","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"1665","560","396","327","7","10","94","120","0","13","100","105","0","13","0","13","8","11","90","99","12","17","3","6","0","13","25","25","11","13","6","9","34","26","6","10","1269","282","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"653","204","48","49","0","13","0","13","0","13","8","14","0","13","9","14","18","24","0","13","0","13","0","13","2","7","11","20","0","13","0","13","0","13","0","13","605","186","1500000US240010023001","Block Group 1, Census Tract 23, Allegany County, Maryland"
"2112","434","338","160","20","22","37","38","61","86","0","13","47","51","26","38","0","13","9","14","0","13","35","42","24","35","8","14","11","15","0","13","41","62","19","31","1774","354","1500000US240010023002","Block Group 2, Census Tract 23, Allegany County, Maryland"
"940","300","219","167","51","53","0","13","30","45","0","13","34","51","30","44","0","13","0","13","0","13","0","13","0","13","0","13","66","64","0","13","8","14","0","13","721","197","1500000US240010023003","Block Group 3, Census Tract 23, Allegany County, Maryland"
"1891","439","456","182","53","52","64","79","6","10","90","82","49","54","0","13","12","19","29","44","38","52","0","13","12","17","0","13","12","16","23","37","68","60","0","13","1435","368","1500000US240010023004","Block Group 4, Census Tract 23, Allegany County, Maryland"
"1498","262","436","158","15","25","9","14","12","18","31","28","0","13","21","24","29","34","28","25","25","28","42","32","34","32","34","29","15","22","32","23","50","48","59","42","1062","159","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"2566","413","431","134","14","17","0","13","14","19","14","21","27","25","23","25","38","29","30","28","28","28","90","44","41","34","11","17","15","24","0","13","77","47","9","14","2135","369","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"1763","476","289","203","62","75","0","13","55","74","10","18","39","48","0","13","10","18","0","13","0","13","44","71","0","13","11","18","0","13","0","13","58","82","0","13","1474","309","1500000US240037011031","Block Group 1, Census Tract 7011.03, Anne Arundel County, Maryland"
"2099","445","428","167","0","13","10","20","36","48","47","48","51","51","54","56","0","13","0","13","23","38","26","42","32","44","16","26","72","78","0","13","45","43","16","27","1671","373","1500000US240037011032","Block Group 2, Census Tract 7011.03, Anne Arundel County, Maryland"
"1091","302","272","139","32","52","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","36","23","35","53","79","15","29","63","60","64","66","819","254","1500000US240037011041","Block Group 1, Census Tract 7011.04, Anne Arundel County, Maryland"
"2181","365","470","176","23","40","34","42","52","53","61","79","66","56","20","35","0","13","23","37","0","13","16","27","19","29","0","13","0","13","0","13","69","54","87","86","1711","309","1500000US240037011042","Block Group 2, Census Tract 7011.04, Anne Arundel County, Maryland"
"1611","537","387","268","26","32","0","13","18","31","0","13","0","13","0","13","17","27","0","13","18","28","0","13","48","52","17","27","21","31","120","151","102","122","0","13","1224","302","1500000US240037012011","Block Group 1, Census Tract 7012.01, Anne Arundel County, Maryland"
"1924","453","495","258","91","101","27","44","13","21","0","13","16","21","21","22","59","67","35","32","55","64","11","17","5","9","43","68","0","13","9","17","110","154","0","13","1429","257","1500000US240037012012","Block Group 2, Census Tract 7012.01, Anne Arundel County, Maryland"
"2236","588","608","257","81","100","14","26","0","13","0","13","54","59","67","69","0","13","0","13","42","49","71","64","58","55","0","13","34","51","103","83","21","29","63","72","1628","431","1500000US240037012021","Block Group 1, Census Tract 7012.02, Anne Arundel County, Maryland"
"1860","530","386","196","96","151","0","13","0","13","0","13","43","47","10","18","17","28","0","13","22","32","57","66","49","58","52","53","0","13","28","45","0","13","12","21","1474","413","1500000US240037012022","Block Group 2, Census Tract 7012.02, Anne Arundel County, Maryland"
"1546","266","247","94","38","29","15","23","0","13","33","35","15","23","0","13","0","13","0","13","15","23","33","36","31","34","19","28","15","26","0","13","33","35","0","13","1299","228","1500000US240037013011","Block Group 1, Census Tract 7013.01, Anne Arundel County, Maryland"
"2463","521","827","307","47","41","18","30","42","56","17","23","31","36","94","94","51","35","16","26","84","56","110","115","49","41","35","39","156","148","34","43","43","65","0","13","1636","295","1500000US240037013012","Block Group 2, Census Tract 7013.01, Anne Arundel County, Maryland"
"1095","295","162","95","19","33","0","13","22","27","12","21","12","21","0","13","36","33","25","29","0","13","0","13","0","13","0","13","20","28","0","13","16","24","0","13","933","269","1500000US240037013021","Block Group 1, Census Tract 7013.02, Anne Arundel County, Maryland"
"2551","543","573","208","21","30","0","13","67","65","0","13","12","21","12","20","0","13","61","58","45","54","47","49","133","139","51","56","0","13","42","42","82","68","0","13","1978","440","1500000US240037013022","Block Group 2, Census Tract 7013.02, Anne Arundel County, Maryland"
"1360","277","380","145","16","16","23","27","10","16","0","13","0","13","10","16","24","31","23","21","7","12","20","16","18","20","42","35","11","17","58","63","98","89","20","21","980","188","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"2430","458","453","143","39","40","38","28","16","20","35","55","39","26","0","13","30","24","0","13","26","31","19","19","43","31","2","4","3","4","62","60","46","41","55","53","1977","414","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"2292","461","540","311","56","41","16","26","73","71","0","13","43","66","119","121","0","13","30","35","0","13","34","54","0","13","0","13","15","23","16","26","138","141","0","13","1752","241","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"1441","571","212","141","32","33","0","13","0","13","0","13","0","13","0","13","23","34","0","13","18","30","0","13","0","13","20","30","0","13","0","13","102","123","17","27","1229","456","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"1142","306","251","153","15","22","31","34","13","21","15","23","0","13","30","53","0","13","0","13","0","13","0","13","37","54","0","13","0","13","49","58","61","57","0","13","891","242","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"1194","237","199","106","9","16","10","17","8","16","17","23","12","19","22","28","12","19","0","13","19","24","0","13","9","17","0","13","0","13","0","13","68","54","13","23","995","194","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"1900","275","610","156","48","34","26","27","23","24","18","20","58","39","13","21","8","13","19","20","21","23","100","54","27","24","28","25","23","20","55","42","119","53","24","19","1290","184","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"2495","523","746","259","94","57","79","56","9","13","69","59","15","17","61","53","93","62","30","46","7","13","22","38","74","69","65","44","33","34","17","14","57","49","21","23","1749","408","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"2051","506","542","351","34","40","51","84","22","36","23","38","0","13","30","47","0","13","72","69","48","79","0","13","0","13","16","27","26","42","0","13","220","155","0","13","1509","288","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"1830","523","513","287","0","13","0","13","71","94","43","64","19","31","13","20","45","64","122","91","24","29","0","13","0","13","12","20","0","13","0","13","79","78","85","80","1317","339","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"1262","407","457","230","0","13","8","14","22","37","0","13","23","38","21","36","21","35","120","92","29","44","0","13","24","41","67","56","32","49","0","13","31","37","59","51","805","226","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"2754","595","780","321","117","102","53","65","0","13","16","25","0","13","0","13","56","61","0","13","38","43","117","77","65","60","15","25","37","41","41","49","148","101","77","91","1974","401","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"1842","682","461","360","26","41","0","13","0","13","0","13","47","56","0","13","294","332","32","36","0","13","0","13","0","13","0","13","21","33","0","13","24","38","17","29","1381","402","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"2304","534","1049","393","18","30","0","13","48","51","0","13","79","112","17","28","103","78","33","39","62","62","34","42","98","83","66","69","39","65","81","81","295","211","76","68","1255","261","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"4120","1135","1325","592","218","156","14","22","14","22","114","157","31","38","168","185","47","32","129","100","93","93","32","28","88","85","41","61","20","34","34","39","151","121","131","119","2795","683","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"1780","481","521","204","30","34","37","44","28","41","13","24","0","13","15","25","43","48","53","48","0","13","14","25","0","13","77","96","102","83","34","45","20","26","55","67","1259","368","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"2125","397","695","226","95","88","30","33","28","31","65","66","14","24","41","34","17","24","0","13","17","25","61","74","33","31","43","46","65","76","0","13","146","99","40","54","1430","274","1500000US240037022083","Block Group 3, Census Tract 7022.08, Anne Arundel County, Maryland"
"1008","220","363","112","10","15","24","26","11","16","0","13","29","28","18","19","18","20","34","22","38","28","10","15","0","13","19","21","46","43","14","16","62","48","30","19","645","131","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"1164","207","406","128","51","43","50","47","19","29","34","29","10","15","37","30","28","26","17","20","33","28","16","14","9","14","11","17","16","18","25","30","41","31","9","15","758","141","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"1730","362","534","157","64","46","35","48","20","23","62","61","28","43","19","21","35","38","9","17","9","18","24","29","6","13","43","37","17","19","31","29","94","67","38","40","1196","227","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"1402","301","301","148","26","35","41","51","4","7","0","13","39","42","0","13","0","13","32","38","19","22","9","15","15","22","46","44","0","13","9","16","61","54","0","13","1101","214","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"1398","289","267","137","0","13","0","13","0","13","0","13","0","13","8","14","0","13","14","24","19","28","14","21","8","15","50","51","72","63","10","17","36","31","36","32","1131","217","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"2579","500","815","242","25","30","13","21","0","13","39","39","31","33","14","21","30","34","79","53","11","17","103","62","75","79","53","55","92","70","37","33","201","119","12","18","1764","358","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"1887","481","442","214","0","13","29","30","25","29","62","80","25","33","0","13","12","22","25","28","7","16","12","20","0","13","25","31","0","13","0","13","94","87","126","125","1445","367","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"1649","263","154","115","0","13","13","21","13","21","18","27","0","13","19","28","18","27","0","13","0","13","0","13","0","13","0","13","0","13","0","13","73","68","0","13","1495","240","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"1977","380","174","93","19","30","0","13","0","13","0","13","11","19","0","13","16","27","27","36","0","13","16","27","0","13","0","13","14","20","27","36","30","36","14","24","1803","363","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"1596","370","455","181","55","64","0","13","42","61","17","28","31","35","16","26","0","13","19","23","15","24","32","34","128","148","26","30","0","13","0","13","74","93","0","13","1141","245","1500000US240037024024","Block Group 4, Census Tract 7024.02, Anne Arundel County, Maryland"
"2432","1338","1021","680","36","40","35","40","82","100","35","39","0","13","150","198","19","31","0","13","104","107","0","13","0","13","204","202","0","13","180","191","161","205","15","25","1411","695","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"1510","528","436","312","98","131","35","39","0","13","52","50","98","112","21","34","57","54","0","13","35","54","0","13","0","13","0","13","0","13","0","13","40","45","0","13","1074","454","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"1197","424","252","121","38","45","0","13","0","13","19","30","0","13","52","83","28","33","0","13","0","13","27","33","0","13","0","13","0","13","0","13","88","115","0","13","945","338","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"2135","617","415","230","107","124","21","34","71","88","34","40","0","13","0","13","17","27","0","13","0","13","17","28","0","13","17","28","20","33","0","13","111","123","0","13","1720","491","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"1902","742","410","223","26","33","0","13","0","13","15","23","13","23","17","27","0","13","25","30","9","16","22","29","7","16","26","41","0","13","23","37","82","133","145","155","1492","608","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"932","326","283","182","97","102","0","13","0","13","0","13","24","30","54","61","0","13","15","23","0","13","0","13","0","13","37","58","0","13","20","32","36","52","0","13","649","174","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"1245","502","247","170","9","16","0","13","0","13","30","38","0","13","0","13","18","26","41","44","38","38","0","13","44","48","0","13","20","29","13","23","34","50","0","13","998","466","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
"1411","485","371","183","0","13","0","13","0","13","0","13","0","13","36","39","69","64","0","13","58","59","0","13","0","13","38","45","0","13","37","42","115","65","18","28","1040","353","1500000US240037026014","Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland"
"2716","737","395","219","19","33","20","24","17","22","19","32","28","44","22","25","20","30","0","13","46","43","16","21","75","95","15","24","8","16","59","94","31","37","0","13","2321","630","1500000US240037026021","Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland"
"843","284","179","143","0","13","0","13","32","36","19","32","0","13","29","36","0","13","15","24","0","13","0","13","0","13","0","13","0","13","0","13","78","120","6","12","664","195","1500000US240037026022","Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland"
